Method,Parameter Types,Param Sizes,Total Param Size
"pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.get$$relationList(java.lang.String, pt.ist.fenixframework.dml.runtime.Relation): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList","['java.lang.String', 'pt.ist.fenixframework.dml.runtime.Relation']","[24, 16]",40
pt.ist.socialsoftware.edition.ldod.frontend.search.SearchRemoteController.getEdition(java.lang.String): pt.ist.socialsoftware.edition.search.api.dto.ExpertEditionForSearchDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.get$oidVirtualModule4Virtual(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.text.domain.Citation_Base$2.Citation_Base$2(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.forms.SignupForm.getLastName() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.api.dto.HumanAnnotationDto.getUsername(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.session.SessionRequiresInterface.getUser(java.lang.String): pt.ist.socialsoftware.edition.user.api.dto.UserDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.getAuthor() : java.lang.String,[],[],0
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base$DO_State.DomainFenixFrameworkRoot_Base$DO_State(),[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.getRelationDomainConsistencyPredicateDomainDependenceRecords(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment.role$$sources,[],[],0
"pt.ist.socialsoftware.edition.virtual.domain.AwareAnnotation_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.user.APIUserController.getUserProfile(java.lang.String): org.springframework.http.ResponseEntity,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base.getCategoriesCount() : int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUsersConnectionRepository.connectionSignUp,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter.getRelationPbTextHasScholarInters(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.getVirtualEditions() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getUser(java.lang.String) : pt.ist.socialsoftware.edition.user.api.dto.UserDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.RdgText_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.Source_Base$4.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.SelectedBy_Base.checkDisconnected(): void,[],[],0
"pt.ist.socialsoftware.edition.text.domain.PbText_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.PbText, pt.ist.socialsoftware.edition.text.domain.Surface): void","['pt.ist.socialsoftware.edition.text.domain.PbText', 'pt.ist.socialsoftware.edition.text.domain.Surface']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.set$refText(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.getVirtualEditionsList(): java.util.List,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.get$oidHeteronym(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.setLdoDDate(pt.ist.socialsoftware.edition.text.domain.LdoDDate) : void,['pt.ist.socialsoftware.edition.text.domain.LdoDDate'],[16],16
"pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.access$100(pt.ist.socialsoftware.edition.text.domain.Facsimile_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.text.domain.Facsimile_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.ldod.frontend.utils.enums.Role_Type.ROLE_ADMIN,[],[],0
"pt.ist.fenixframework.adt.bplustree.DomainInnerNode_Base.set$subNodesByOid(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria_Base.init$Instance(boolean): void,['boolean'],[1],1
"pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.set$predicate(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.ldod.frontend.user.security.LdoDPermissionEvaluator.static {},[],[],0
"pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto.canSwitchRole(java.lang.String, java.lang.String): boolean","['java.lang.String', 'java.lang.String']","[24, 24]",48
pt.ist.fenixframework.backend.jvstmojb.repository.ToSqlConverter.getValueForEnum(java.lang.Enum): java.lang.String,['java.lang.Enum'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.ScholarEdition_Base.setDate(org.joda.time.LocalDate): void,['org.joda.time.LocalDate'],[32],32
pt.ist.socialsoftware.edition.text.domain.SubstText_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.text.domain.NoteText_Base.setType(pt.ist.socialsoftware.edition.text.domain.NoteText$NoteType) : void,['pt.ist.socialsoftware.edition.text.domain.NoteText$NoteType'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.filters.TransactionFilter$callable$doFilter.arg3,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.filters.JWTAuthorizationFilter.JWTAuthorizationFilter(org.springframework.security.authentication.AuthenticationManager),['org.springframework.security.authentication.AuthenticationManager'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.get$providerUserId(): java.lang.String,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.setPredicate(java.lang.reflect.Method) : void,['java.lang.reflect.Method'],[16],16
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.getClassificationGameParticipant(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.set$childText(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base$DO_State.number,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Option_Base.getPosition(): int,[],[],0
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.text.domain.Dimensions_Base.role$$manuscriptSource,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.role$$isUsedBy,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Category_Base.getXmlId() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base$1.getSet(pt.ist.socialsoftware.edition.user.domain.User): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.socialsoftware.edition.user.domain.User'],[16],16
pt.ist.fenixframework.backend.jvstmojb.repository.ToSqlConverter.getValueForlong(long): long,['long'],[8],8
